key,line,col,old,new,status
table_19[EquiBind (raw) -> EquiBind (gnina-opt)].k1.opt,833,54,18.8,19.5,old value still printed
table_19[EquiBind (raw) -> EquiBind (gnina-opt)].k1.opt_wins,833,63,55,57,old value still printed
table_19[EquiBind (raw) -> EquiBind (gnina-opt)].k5.opt,833,74,25.1,26.1,old value still printed
table_19[EquiBind (raw) -> EquiBind (gnina-opt)].k5.opt_wins,833,83,69,72,old value still printed
table_19[EquiBind (raw) -> EquiBind (gnina-opt)].k10.opt,833,94,27.4,28.4,old value still printed
table_19[EquiBind (raw) -> EquiBind (gnina-opt)].k10.opt_wins,833,103,72,75,old value still printed
table_19[EquiBind (raw) -> EquiBind (gnina-opt)].k15.opt,833,114,27.4,28.4,old value still printed
table_19[EquiBind (raw) -> EquiBind (gnina-opt)].k15.opt_wins,833,123,66,69,old value still printed
table_6[autodock].complexes,865,27,199,214,old value still printed
table_6[diffdock].complexes,866,27,169,183,old value still printed
table_6[diffdock].cpu_core_s_per_near2,866,54,2.93,2.30,old value still printed
table_6[diffdock].gpu_s_per_near2,866,79,49.9,39.1,old value still printed
table_6[equibind].complexes,867,27,80,83,old value still printed
table_8[autodock_mgltools_exh18].d1,888,73,72,92,old value still printed
table_8[autodock_mgltools_exh18].d5,888,77,108,127,old value still printed
table_8[autodock_mgltools_exh18].d15,888,82,121,138,old value still printed
table_8[autodock_mgltools_exh18].d30,888,87,125,143,old value still printed
table_8[autodock_mgltools].d1,889,73,85,109,old value still printed
table_8[autodock_mgltools].d5,889,77,130,147,old value still printed
table_8[autodock_mgltools].d15,889,82,148,161,old value still printed
table_8[autodock_mgltools_exh64].d1,890,73,94,123,old value still printed
table_8[autodock_mgltools_exh64].d5,890,77,145,162,old value still printed
table_8[autodock_mgltools_exh64].d15,890,82,175,190,old value still printed
table_8[autodock_mgltools_exh64].d30,890,87,182,201,old value still printed
table_8[autodock_mgltools_exh92].d1,891,73,91,123,old value still printed
table_8[autodock_mgltools_exh92].d5,891,77,150,164,old value still printed
table_8[autodock_mgltools_exh92].d15,891,82,182,194,old value still printed
table_8[autodock_mgltools_exh92].d30,891,87,194,209,old value still printed
table_8[autodock_mgltools_exh128].d1,892,73,94,130,old value still printed
table_8[autodock_mgltools_exh128].d15,892,82,185,198,old value still printed
table_8[autodock_mgltools_exh128].d30,892,87,202,217,old value still printed
table_8[autodock_mgltools_gnina].d1,893,73,100,129,old value still printed
table_8[autodock_mgltools_gnina].d5,893,78,144,160,old value still printed
table_8[autodock_mgltools_exh64_gnina].d1,894,73,110,141,old value still printed
table_8[autodock_mgltools_exh64_gnina].d5,894,78,169,187,old value still printed
table_8[autodock_mgltools_exh64_gnina].d15,894,83,182,200,old value still printed
table_8[autodock_mgltools_exh64_gnina].d30,894,88,182,200,old value still printed
table_8[autodock_mgltools_exh128_gnina].d1,895,73,111,149,old value still printed
table_8[autodock_mgltools_exh128_gnina].d5,895,78,184,200,old value still printed
table_8[autodock_mgltools_exh128_gnina].d15,895,83,198,213,old value still printed
table_8[autodock_mgltools_exh128_gnina].d30,895,88,199,214,old value still printed
prose.refiners.equibind_near_top15.gnina,1011,39,83,86,old value still printed
prose.refiners.equibind_near_top15.smina,1011,50,61,64,old value still printed
prose.refiners.equibind_selection_top15.gnina,1012,39,55,57,old value still printed
prose.refiners.equibind_selection_top15.smina,1012,50,46,48,old value still printed
prose.refiners.diffdock_triple_top15.smina,1013,39,133,144,old value still printed
prose.refiners.diffdock_triple_top15.gnina,1013,51,132,143,old value still printed
prose.refiners.diffdock_double_top15.smina,1014,39,167,179,old value still printed
prose.refiners.diffdock_double_top15.gnina,1014,51,167,177,old value still printed
prose.refiners.diffdock_double_top15.mcnemar_p,1014,67,1.0,0.7,old value still printed
prose.refiners.diffdock_near_top15.smina,1015,39,170,182,old value still printed
prose.refiners.diffdock_near_top15.gnina,1015,51,170,180,old value still printed
prose.refiners.diffdock_near_top15.mcnemar_p,1015,67,1.0,0.7,old value still printed
prose[h9].diff_pp.k1,1029,17,2.6,5.6,old value still printed
prose[h9].diff_pp.k15,1029,28,10.2,11.2,old value still printed
prose[h9].diff_pp.k30,1029,34,9.9,10.2,old value still printed
prose[h9].ci95_lo.k1,1030,17,-4.2,-1.7,old value still printed
prose[h9].ci95_lo.k15,1030,28,2.8,3.9,old value still printed
prose[h9].ci95_lo.k30,1030,33,2.5,3.0,old value still printed
prose[h9].ci95_hi.k1,1031,17,9.4,12.8,old value still printed
prose[h9].ci95_hi.k15,1031,28,17.5,18.4,old value still printed
prose[h9].ci95_hi.k30,1031,34,17.1,17.3,old value still printed
prose[h9].both_recover,1034,21,51,76,old value still printed
prose[h9].neither_recovers,1035,25,140,98,old value still printed
prose[h9].discordant,1036,19,112,129,old value still printed
prose[h9].discordant_pct,1037,23,37.0,42.6,old value still printed
prose[h9].observed_power,1039,23,0.12,0.32,old value still printed
prose[h9].ci90_lo.k15,1048,28,4.0,5.1,old value still printed
prose[h9].ci90_lo.k30,1048,33,3.7,4.2,old value still printed
prose[h9].smallest_margin.k1,1050,33,8.4,11.7,old value still printed
prose[h9].smallest_margin.k15,1050,44,16.4,17.3,old value still printed
prose.fig39.equibind_matched_rank1,1084,29,16.7,17.7,old value still printed
prose.fig39.equibind_spurious_min,1086,28,12.0,11.2,old value still printed
prose.audit.dropped_by_site_filter[autodock],1112,40,44,27,old value still printed
prose.audit.dropped_by_site_filter[diffdock],1112,54,60,38,old value still printed
prose.audit.dropped_by_site_filter[equibind],1112,68,111,100,old value still printed
