protein,ligand,status,num_poses,best_affinity_kcal,elapsed_time_s,output_dir
Orai1WT-MDSnap-Fr300_cleaned,4CO_ideal,success,10,-7.1,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,4EA_ideal,success,10,-7.9,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,4HD_ideal,success,10,-6.6,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,4IF_ideal,success,10,-5.1,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,4UH_ideal,success,10,-8.4,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,50U_ideal,success,10,-7.9,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,54J_ideal,success,10,-7.9,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,570_ideal,success,10,-8.7,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,587_ideal,success,10,-6.5,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,59U_ideal,success,10,-7.8,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,5CB_ideal,success,10,-8.9,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,5D5_ideal,success,10,-8.8,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,5FA_ideal,success,10,-6.8,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,5MV_ideal,success,10,-9.7,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,5PI_ideal,success,10,-7.0,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,5X6_ideal,success,10,-8.9,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,5YM_ideal,success,10,-5.5,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,626_ideal,success,10,-8.3,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,63J_ideal,success,10,-8.6,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,63K_ideal,success,10,-9.8,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,65C_ideal,success,10,-8.8,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,66T_ideal,success,10,-8.9,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,6E2_ideal,success,10,-7.2,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,6EJ_ideal,success,10,-9.3,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,6F6_ideal,success,10,-5.5,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,6FA_ideal,success,10,-8.6,0.28,/workspace/master_dev/docking_ready_meeko/docking
