protein,ligand,pose_sdf,pose_centroid_x,pose_centroid_y,pose_centroid_z,in_fpocket,nearest_fpocket_id,nearest_fpocket_dist_A,in_p2rank,nearest_p2rank_id,nearest_p2rank_dist_A,in_any_pocket
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_030.sdf,-10.24,27.41,-5.65,False,fpocket_raw_p001,23.04,False,p2rank_raw_p004,16.14,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_031.sdf,-11.48,28.97,-4.1,False,fpocket_raw_p001,22.8,False,p2rank_raw_p004,18.47,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_032.sdf,-10.27,30.0,-2.73,False,fpocket_raw_p001,21.77,False,p2rank_raw_p004,19.54,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_033.sdf,-12.46,31.28,0.01,False,fpocket_raw_p001,21.32,False,p2rank_raw_p004,23.15,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_034.sdf,-12.78,30.33,-2.5,False,fpocket_raw_p001,22.72,False,p2rank_raw_p004,20.84,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_035.sdf,-10.75,27.14,-8.16,False,fpocket_raw_p001,25.32,False,p2rank_raw_p004,14.19,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_036.sdf,-12.31,29.45,-1.01,False,fpocket_raw_p001,20.97,False,p2rank_raw_p004,21.6,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_037.sdf,-11.5,30.19,-2.27,False,fpocket_raw_p001,21.95,False,p2rank_raw_p004,20.45,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_038.sdf,-10.22,26.56,-7.13,False,fpocket_raw_p001,24.05,False,p2rank_raw_p004,14.62,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_039.sdf,-12.02,29.31,-2.66,False,fpocket_raw_p001,22.02,False,p2rank_raw_p004,20.02,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_040.sdf,-11.79,29.09,-2.84,False,fpocket_raw_p001,21.97,False,p2rank_raw_p004,19.71,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_001.sdf,-11.73,26.49,-9.46,False,fpocket_raw_p001,26.6,False,p2rank_raw_p004,13.53,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_002.sdf,-7.27,29.57,-10.67,False,fpocket_cleaned_p005,26.37,False,p2rank_raw_p004,11.82,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_003.sdf,-11.68,29.05,-5.02,False,fpocket_raw_p001,23.66,False,p2rank_raw_p004,17.82,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_004.sdf,-11.64,27.82,-6.13,False,fpocket_raw_p001,24.08,False,p2rank_raw_p004,16.49,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_005.sdf,-10.89,28.87,-3.99,False,fpocket_raw_p001,22.46,False,p2rank_raw_p004,18.28,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_006.sdf,-11.36,29.65,-4.57,False,fpocket_raw_p001,23.45,False,p2rank_raw_p004,18.27,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_007.sdf,-11.23,30.15,-4.29,False,fpocket_raw_p001,23.41,False,p2rank_raw_p004,18.64,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_008.sdf,-11.97,26.72,-9.25,False,fpocket_raw_p001,26.55,False,p2rank_raw_p004,13.9,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_009.sdf,-11.5,28.78,-4.78,False,fpocket_raw_p001,23.28,False,p2rank_raw_p004,17.85,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_010.sdf,-11.33,27.45,-4.64,False,fpocket_raw_p001,22.56,False,p2rank_raw_p004,17.49,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_011.sdf,-11.38,27.04,-6.35,False,fpocket_raw_p001,23.9,False,p2rank_raw_p004,15.96,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_012.sdf,-11.68,28.52,-6.07,False,fpocket_raw_p001,24.32,False,p2rank_raw_p004,16.79,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_013.sdf,-11.88,28.57,-5.45,False,fpocket_raw_p001,23.89,False,p2rank_raw_p004,17.4,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_014.sdf,-9.26,29.27,-7.46,False,fpocket_raw_p001,25.09,False,p2rank_raw_p004,14.9,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_015.sdf,-11.26,27.61,-6.67,False,fpocket_raw_p001,24.33,False,p2rank_raw_p004,15.8,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_016.sdf,-12.1,26.62,-7.15,False,fpocket_raw_p001,24.72,False,p2rank_raw_p004,15.57,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_017.sdf,-12.1,26.62,-9.23,False,fpocket_raw_p001,26.55,False,p2rank_raw_p004,13.96,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_018.sdf,-11.63,28.96,-5.35,False,fpocket_raw_p001,23.88,False,p2rank_raw_p004,17.5,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_019.sdf,-12.45,28.43,-4.29,False,fpocket_raw_p001,23.1,False,p2rank_raw_p004,18.58,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_020.sdf,-11.31,27.79,-4.49,False,fpocket_raw_p001,22.56,False,p2rank_raw_p004,17.7,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_021.sdf,-11.99,27.68,-5.95,False,fpocket_raw_p001,24.0,False,p2rank_raw_p004,16.77,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_022.sdf,-11.41,29.24,-3.91,False,fpocket_raw_p001,22.74,False,p2rank_raw_p004,18.7,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_023.sdf,-8.8,31.3,-13.14,False,fpocket_cleaned_p005,28.63,False,p2rank_raw_p004,11.91,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_024.sdf,-11.94,26.29,-9.56,False,fpocket_raw_p001,26.7,False,p2rank_raw_p004,13.52,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_025.sdf,-11.07,26.79,-6.76,False,fpocket_raw_p001,24.06,False,p2rank_raw_p004,15.4,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_026.sdf,-11.71,27.51,-5.96,False,fpocket_raw_p001,23.84,False,p2rank_raw_p004,16.57,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_027.sdf,-11.62,28.36,-6.0,False,fpocket_raw_p001,24.17,False,p2rank_raw_p004,16.77,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_028.sdf,-12.33,27.68,-5.76,False,fpocket_raw_p001,23.97,False,p2rank_raw_p004,17.1,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_029.sdf,-12.22,28.4,-3.23,False,fpocket_raw_p001,22.14,False,p2rank_raw_p004,19.35,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_030.sdf,-11.36,27.68,-7.0,False,fpocket_raw_p001,24.68,False,p2rank_raw_p004,15.61,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_031.sdf,-11.45,28.08,-5.09,False,fpocket_raw_p001,23.23,False,p2rank_raw_p004,17.34,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_032.sdf,-11.82,27.27,-7.97,False,fpocket_raw_p001,25.54,False,p2rank_raw_p004,14.95,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_033.sdf,-11.96,26.83,-8.18,False,fpocket_raw_p001,25.63,False,p2rank_raw_p004,14.74,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_034.sdf,-12.18,26.29,-8.84,False,fpocket_raw_p001,26.13,False,p2rank_raw_p004,14.22,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_035.sdf,-10.44,29.74,-3.99,False,fpocket_raw_p001,22.7,False,p2rank_raw_p004,18.43,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_036.sdf,-12.17,26.81,-6.53,False,fpocket_raw_p001,24.27,False,p2rank_raw_p004,16.15,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_037.sdf,-11.65,26.52,-8.39,False,fpocket_raw_p001,25.62,False,p2rank_raw_p004,14.32,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_038.sdf,-11.84,27.68,-5.85,False,fpocket_raw_p001,23.87,False,p2rank_raw_p004,16.77,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_039.sdf,-10.6,30.29,-5.68,False,fpocket_raw_p001,24.4,False,p2rank_raw_p004,17.31,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,unguided_040.sdf,-11.07,28.82,-5.85,False,fpocket_raw_p001,24.04,False,p2rank_raw_p004,16.79,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_001.sdf,-11.21,28.91,-4.31,False,fpocket_raw_p001,22.85,False,p2rank_raw_p004,18.16,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_002.sdf,-10.51,27.1,-4.57,False,fpocket_raw_p001,22.07,False,p2rank_raw_p004,17.11,False
