strategy,label,success_pct,median_rmsd,mean_rmsd
A_native,DiffDock top-1 (native),43.56435643564357,2.408211299561013,6.7343604879704415
C_rerank,"Affinity top-1, raw coords (re-rank only)",41.584158415841586,2.684732797318944,5.17954195889385
D_minimize,"DiffDock top-1, minimized coords (minimize only)",45.54455445544555,2.3235688279415823,6.7494466513752505
B_full,"Affinity top-1, minimized coords (full gnina pipeline)",48.51485148514851,2.2381679837164445,5.019181652395881
oracle_raw,"Oracle, raw coords (ceiling)",53.135313531353134,1.6749543180337787,2.903845566253144
oracle_min,"Oracle, minimized coords (ceiling)",61.386138613861384,1.4334827144380196,2.677192995398498
