protein,n_copies,autodock_rank,optimized_rank,cnn_affinity,status,rmsd_ref,rmsd_refcopy,rmsd_nearest_copy,nearest_idx,ref_idx,cd_ref,cd_nearest,pose_file
7B2C_TP7,2,16,15,4.8482532501,success,41.47330137713384,41.47330137713384,15.252402900604906,1,0,40.812946117026016,14.184450276979836,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank16_gnina.sdf
7B2C_TP7,2,17,17,4.8235244751,success,41.60171082587831,41.60171082587831,15.926096578885865,1,0,40.790158669480626,14.336284679939327,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank17_gnina.sdf
7B2C_TP7,2,18,23,4.6512989998,success,38.70817072225007,38.70817072225007,38.70817072225007,0,0,38.45178185462827,38.45178185462827,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank18_gnina.sdf
7B2C_TP7,2,19,14,4.8768429756,success,45.37580679259126,45.37580679259126,17.794127729394326,1,0,45.08977455235951,16.19486510251722,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank19_gnina.sdf
7B2C_TP7,2,20,1,5.3110322952,success,46.570506362928064,46.570506362928064,19.212695878221975,1,0,46.289082878876094,18.53154666040778,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank20_gnina.sdf
7B2C_TP7,2,21,11,4.9825339317,success,17.888899676135956,17.888899676135956,17.888899676135956,0,0,16.521221823680502,16.521221823680502,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank21_gnina.sdf
7B2C_TP7,2,22,26,4.5807938576,success,65.02600830363772,65.02600830363772,38.474231216552745,1,0,64.89910636988577,38.2254234296105,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank22_gnina.sdf
7B2C_TP7,2,23,21,4.6789355278,success,38.28974290827642,38.28974290827642,38.28974290827642,0,0,37.5313814422072,37.5313814422072,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank23_gnina.sdf
7B2C_TP7,2,24,27,4.5740504265,success,44.88516664071508,44.88516664071508,18.027772473735126,1,0,44.54528963528295,16.153338508414834,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank24_gnina.sdf
7B2C_TP7,2,25,29,4.4329705238,success,65.09037921206905,65.09037921206905,38.69223656706121,1,0,64.97165759369719,38.453179904989774,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank25_gnina.sdf
