base_protein,ligand_name,meeko,mgl_tools
Orai1WT-MDSnap-Fr300_cleaned,6BD_ideal,-7.662,-8.441
Orai1WT-MDSnap-Fr300_cleaned,6LH_ideal,-6.023,-6.106
Orai1WT-MDSnap-Fr300_cleaned,6LR_ideal,-4.3,-4.334
Orai1WT-MDSnap-Fr300_cleaned,6WT_ideal,-8.155,-8.138
Orai1WT-MDSnap-Fr300_cleaned,787_ideal,-6.955,-7.023
Orai1WT-MDSnap-Fr300_cleaned,791_ideal,-6.813,-6.925
Orai1WT-MDSnap-Fr300_cleaned,7BD_ideal,-7.609,-7.977
Orai1WT-MDSnap-Fr300_cleaned,7N8_ideal,-7.086,-7.096
Orai1WT-MDSnap-Fr300_cleaned,7TI_ideal,-7.616,-7.626
Orai1WT-MDSnap-Fr300_cleaned,80G_ideal,-6.586,-6.502
Orai1WT-MDSnap-Fr300_cleaned,911_ideal,-5.616,-5.596
Orai1WT-MDSnap-Fr300_cleaned,92G_ideal,-6.557,-6.692
Orai1WT-MDSnap-Fr300_cleaned,949_ideal,-8.51,-8.887
Orai1WT-MDSnap-Fr300_cleaned,9CA_ideal,-7.688,-7.675
Orai1WT-MDSnap-Fr300_cleaned,9Y6_ideal,-6.215,-6.22
Orai1WT-MDSnap-Fr300_cleaned,A1AIA_ideal,-7.641,-7.23
Orai1WT-MDSnap-Fr300_cleaned,A1AIK_ideal,-8.16,-8.293
Orai1WT-MDSnap-Fr300_cleaned,A1AT0_ideal,-8.374,-9.09
Orai1WT-MDSnap-Fr300_cleaned,A1CR0_ideal,-8.013,-8.013
Orai1WT-MDSnap-Fr300_cleaned,A1EEY_ideal,-6.827,-6.732
Orai1WT-MDSnap-Fr300_cleaned,A1IPI_ideal,-5.867,-5.877
Orai1WT-MDSnap-Fr400_cleaned,007_ideal,-7.027,-7.011
Orai1WT-MDSnap-Fr400_cleaned,010_ideal,-5.922,-5.411
Orai1WT-MDSnap-Fr400_cleaned,08D_ideal,-7.431,-7.567
Orai1WT-MDSnap-Fr400_cleaned,0A9_ideal,-6.174,-6.303
Orai1WT-MDSnap-Fr400_cleaned,13X_ideal,-5.548,-5.55
Orai1WT-MDSnap-Fr400_cleaned,144_ideal,-4.453,-4.225
Orai1WT-MDSnap-Fr400_cleaned,150_ideal,-6.451,-6.458
Orai1WT-MDSnap-Fr400_cleaned,152_ideal,-4.672,-4.857
Orai1WT-MDSnap-Fr400_cleaned,171_ideal,-6.322,-5.642
Orai1WT-MDSnap-Fr400_cleaned,173_ideal,-6.263,-6.486
Orai1WT-MDSnap-Fr400_cleaned,174_ideal,-6.412,-6.623
Orai1WT-MDSnap-Fr400_cleaned,178_ideal,-8.105,-7.765
Orai1WT-MDSnap-Fr400_cleaned,1AL_ideal,-6.125,-6.204
Orai1WT-MDSnap-Fr400_cleaned,1BN_ideal,-6.483,-6.546
Orai1WT-MDSnap-Fr400_cleaned,1CM_ideal,-7.369,-7.569
Orai1WT-MDSnap-Fr400_cleaned,1CY_ideal,-7.402,-7.389
Orai1WT-MDSnap-Fr400_cleaned,1K5_ideal,-7.897,-8.36
Orai1WT-MDSnap-Fr400_cleaned,1OH_ideal,-7.41,-7.938
Orai1WT-MDSnap-Fr400_cleaned,1PC_ideal,-6.999,-8.211
Orai1WT-MDSnap-Fr400_cleaned,1WE_ideal,-6.106,-5.756
Orai1WT-MDSnap-Fr400_cleaned,201_ideal,-10.183,-10.176
Orai1WT-MDSnap-Fr400_cleaned,205_ideal,-7.971,-7.98
Orai1WT-MDSnap-Fr400_cleaned,210_ideal,-5.672,-5.667
Orai1WT-MDSnap-Fr400_cleaned,21B_ideal,-7.731,-8.146
Orai1WT-MDSnap-Fr400_cleaned,221_ideal,-7.95,-8.364
Orai1WT-MDSnap-Fr400_cleaned,22F_ideal,-7.408,-7.269
Orai1WT-MDSnap-Fr400_cleaned,231_ideal,-6.676,-6.665
Orai1WT-MDSnap-Fr400_cleaned,23F_ideal,-6.64,-6.853
Orai1WT-MDSnap-Fr400_cleaned,251_ideal,-8.637,-9.335
Orai1WT-MDSnap-Fr400_cleaned,256_ideal,-6.874,-6.35
Orai1WT-MDSnap-Fr400_cleaned,268_ideal,-6.349,-5.524
Orai1WT-MDSnap-Fr400_cleaned,269_ideal,-5.856,-5.854
Orai1WT-MDSnap-Fr400_cleaned,26C_ideal,-8.296,-8.399
Orai1WT-MDSnap-Fr400_cleaned,270_ideal,-5.62,-6.004
Orai1WT-MDSnap-Fr400_cleaned,283_ideal,-7.403,-7.586
Orai1WT-MDSnap-Fr400_cleaned,299_ideal,-6.333,-6.264
Orai1WT-MDSnap-Fr400_cleaned,2C7_ideal,-8.286,-7.859
Orai1WT-MDSnap-Fr400_cleaned,2H3_ideal,-5.791,-5.892
Orai1WT-MDSnap-Fr400_cleaned,2HA_ideal,-4.205,-4.599
Orai1WT-MDSnap-Fr400_cleaned,2HP_ideal,-3.893,-3.892
Orai1WT-MDSnap-Fr400_cleaned,2OH_ideal,-8.084,-7.794
Orai1WT-MDSnap-Fr400_cleaned,328_ideal,-8.443,-8.101
Orai1WT-MDSnap-Fr400_cleaned,36M_ideal,-6.022,-6.826
Orai1WT-MDSnap-Fr400_cleaned,3FG_ideal,-6.346,-6.636
Orai1WT-MDSnap-Fr400_cleaned,3G3_ideal,-8.956,-8.433
Orai1WT-MDSnap-Fr400_cleaned,3HG_ideal,-5.432,-5.396
Orai1WT-MDSnap-Fr400_cleaned,3IM_ideal,-7.171,-7.357
Orai1WT-MDSnap-Fr400_cleaned,3MI_ideal,-8.372,-9.502
Orai1WT-MDSnap-Fr400_cleaned,3PO_ideal,-6.127,-6.461
Orai1WT-MDSnap-Fr400_cleaned,3RL_ideal,-7.74,-7.784
Orai1WT-MDSnap-Fr400_cleaned,3SY_ideal,-4.787,-4.477
Orai1WT-MDSnap-Fr400_cleaned,416_ideal,-9.307,-8.69
Orai1WT-MDSnap-Fr400_cleaned,41A_ideal,-6.751,-6.929
Orai1WT-MDSnap-Fr400_cleaned,44B_ideal,-8.165,-7.985
Orai1WT-MDSnap-Fr400_cleaned,4AZ_ideal,-6.354,-6.367
Orai1WT-MDSnap-Fr400_cleaned,4BB_ideal,-8.645,-8.648
Orai1WT-MDSnap-Fr400_cleaned,4BR_ideal,-6.801,-6.823
Orai1WT-MDSnap-Fr400_cleaned,4CB_ideal,-6.26,-6.685
Orai1WT-MDSnap-Fr400_cleaned,4CH_ideal,-6.173,-5.595
Orai1WT-MDSnap-Fr400_cleaned,4FA_ideal,-6.217,-6.18
Orai1WT-MDSnap-Fr400_cleaned,4FC_ideal,-8.112,-9.275
Orai1WT-MDSnap-Fr400_cleaned,4FP_ideal,-7.413,-7.375
Orai1WT-MDSnap-Fr400_cleaned,4J8_ideal,-6.32,-6.874
Orai1WT-MDSnap-Fr400_cleaned,4KS_ideal,-6.219,-5.309
Orai1WT-MDSnap-Fr400_cleaned,4MB_ideal,-6.804,-6.623
Orai1WT-MDSnap-Fr400_cleaned,4ND_ideal,-9.11,-9.227
Orai1WT-MDSnap-Fr400_cleaned,4NL_ideal,-5.772,-6.014
Orai1WT-MDSnap-Fr400_cleaned,4NP_ideal,-6.729,-6.698
Orai1WT-MDSnap-Fr400_cleaned,4PG_ideal,-9.326,-8.543
Orai1WT-MDSnap-Fr400_cleaned,4PI_ideal,-9.167,-8.966
