base_protein,ligand_name,rmsd,meeko_affinity,mgl_affinity,n_atoms_meeko,n_atoms_mgl
Orai1WT-MDSnap-Fr300_cleaned,4FA_ideal,37.92091989390553,-5.92,-5.834,10,10
Orai1WT-MDSnap-Fr300_cleaned,4FC_ideal,1.4287844484036072,-8.07,-8.055,16,16
Orai1WT-MDSnap-Fr300_cleaned,4FP_ideal,44.4302211265839,-7.635,-7.509,14,14
Orai1WT-MDSnap-Fr300_cleaned,4J8_ideal,53.70289598844232,-6.111,-6.343,11,11
Orai1WT-MDSnap-Fr300_cleaned,4KS_ideal,19.167530995004142,-5.685,-5.526,9,9
Orai1WT-MDSnap-Fr300_cleaned,4MB_ideal,32.050717560498654,-6.375,-6.26,14,14
Orai1WT-MDSnap-Fr300_cleaned,4ND_ideal,24.977206749354497,-8.852,-8.219,20,20
Orai1WT-MDSnap-Fr300_cleaned,4NL_ideal,18.84486868155361,-5.325,-5.542,8,8
Orai1WT-MDSnap-Fr300_cleaned,4NP_ideal,36.9629080662532,-6.938,-6.581,14,14
Orai1WT-MDSnap-Fr300_cleaned,4PG_ideal,43.0142120870961,-8.508,-8.906,19,19
Orai1WT-MDSnap-Fr300_cleaned,4PI_ideal,32.736463520334354,-9.734,-8.592,22,22
Orai1WT-MDSnap-Fr300_cleaned,4PN_ideal,0.07134014764959948,-6.395,-6.428,12,12
Orai1WT-MDSnap-Fr300_cleaned,4SO_ideal,39.291120362082985,-6.514,-6.561,13,13
Orai1WT-MDSnap-Fr300_cleaned,505_ideal,31.71754187536267,-6.391,-5.747,13,13
Orai1WT-MDSnap-Fr300_cleaned,521_ideal,1.0817104973143232,-8.243,-8.278,20,20
Orai1WT-MDSnap-Fr300_cleaned,566_ideal,0.04365885062728106,-8.667,-8.666,21,21
Orai1WT-MDSnap-Fr300_cleaned,572_ideal,22.9851816731998,-6.638,-6.661,20,20
Orai1WT-MDSnap-Fr300_cleaned,5AN_ideal,0.10749263540664877,-5.698,-5.704,9,9
Orai1WT-MDSnap-Fr300_cleaned,5B3_ideal,36.239935099854506,-9.163,-8.786,24,24
Orai1WT-MDSnap-Fr300_cleaned,641_ideal,0.19460115286311153,-8.482,-8.617,23,23
Orai1WT-MDSnap-Fr300_cleaned,6BD_ideal,44.65852144514714,-7.662,-8.441,21,21
Orai1WT-MDSnap-Fr300_cleaned,6LH_ideal,33.43890853108097,-6.023,-6.106,12,12
Orai1WT-MDSnap-Fr300_cleaned,6LR_ideal,25.230460007036466,-4.3,-4.334,6,6
Orai1WT-MDSnap-Fr300_cleaned,6WT_ideal,1.6105002818673262,-8.155,-8.138,19,19
Orai1WT-MDSnap-Fr300_cleaned,787_ideal,1.6192115571063177,-6.955,-7.023,15,15
Orai1WT-MDSnap-Fr300_cleaned,791_ideal,25.67004820198645,-6.813,-6.925,13,13
Orai1WT-MDSnap-Fr300_cleaned,7BD_ideal,5.780452988304637,-7.609,-7.977,20,20
Orai1WT-MDSnap-Fr300_cleaned,7N8_ideal,1.2433818131745913,-7.086,-7.096,15,15
Orai1WT-MDSnap-Fr300_cleaned,7TI_ideal,0.047114222905615497,-7.616,-7.626,20,20
Orai1WT-MDSnap-Fr300_cleaned,80G_ideal,0.2889673923579506,-6.586,-6.502,13,13
Orai1WT-MDSnap-Fr300_cleaned,911_ideal,37.100392829334154,-5.616,-5.596,11,11
Orai1WT-MDSnap-Fr300_cleaned,92G_ideal,44.91155085532863,-6.557,-6.692,13,13
Orai1WT-MDSnap-Fr300_cleaned,949_ideal,32.846940725735784,-8.51,-8.887,25,25
Orai1WT-MDSnap-Fr300_cleaned,9CA_ideal,4.429971392510514,-7.688,-7.675,13,13
Orai1WT-MDSnap-Fr300_cleaned,9Y6_ideal,1.5249460974080364,-6.215,-6.22,10,10
Orai1WT-MDSnap-Fr300_cleaned,A1AIA_ideal,31.2090888804848,-7.641,-7.23,16,16
Orai1WT-MDSnap-Fr300_cleaned,A1AIK_ideal,30.914566641574705,-8.16,-8.293,22,22
Orai1WT-MDSnap-Fr300_cleaned,A1AT0_ideal,46.343734100398315,-8.374,-9.09,19,19
Orai1WT-MDSnap-Fr300_cleaned,A1CR0_ideal,0.02409900215282583,-8.013,-8.013,21,21
Orai1WT-MDSnap-Fr300_cleaned,A1EEY_ideal,1.9259787580527956,-6.827,-6.732,17,17
Orai1WT-MDSnap-Fr300_cleaned,A1IPI_ideal,1.1491385541642343,-5.867,-5.877,12,12
Orai1WT-MDSnap-Fr400_cleaned,007_ideal,0.06369881051902342,-7.027,-7.011,13,13
Orai1WT-MDSnap-Fr400_cleaned,010_ideal,33.342345575858936,-5.922,-5.411,8,8
