base_protein,ligand_name,rmsd,meeko_affinity,mgl_affinity,n_atoms_meeko,n_atoms_mgl
Orai1WT-MDSnap-Fr499_cleaned,4FA_ideal,35.87980325754309,-6.49,-5.936,10,10
Orai1WT-MDSnap-Fr499_cleaned,4FC_ideal,28.39481704906725,-8.704,-8.671,16,16
Orai1WT-MDSnap-Fr499_cleaned,4FP_ideal,0.027392647605829008,-7.742,-7.725,14,14
Orai1WT-MDSnap-Fr499_cleaned,4J8_ideal,29.69164509358881,-6.463,-6.646,11,11
Orai1WT-MDSnap-Fr499_cleaned,4KS_ideal,1.6026244794780289,-6.607,-6.576,9,9
Orai1WT-MDSnap-Fr499_cleaned,4MB_ideal,0.45778160731947287,-6.92,-6.825,14,14
Orai1WT-MDSnap-Fr499_cleaned,4ND_ideal,45.148818212662,-7.783,-8.548,20,20
Orai1WT-MDSnap-Fr499_cleaned,4NL_ideal,1.7094236601849175,-6.465,-6.469,8,8
Orai1WT-MDSnap-Fr499_cleaned,4NP_ideal,16.137016647624623,-6.832,-6.662,14,14
Orai1WT-MDSnap-Fr499_cleaned,4PG_ideal,30.560386113742943,-9.205,-8.749,19,19
Orai1WT-MDSnap-Fr499_cleaned,4PI_ideal,1.0880972550115346,-8.967,-8.851,22,22
Orai1WT-MDSnap-Fr499_cleaned,4PN_ideal,4.736667992024211,-6.44,-6.441,12,12
Orai1WT-MDSnap-Fr499_cleaned,4SO_ideal,18.540604576898865,-6.714,-6.944,13,13
Orai1WT-MDSnap-Fr499_cleaned,505_ideal,32.753234402821256,-6.731,-6.244,13,13
Orai1WT-MDSnap-Fr499_cleaned,521_ideal,1.0844879667382206,-7.973,-7.961,20,20
Orai1WT-MDSnap-Fr499_cleaned,566_ideal,32.984608274885105,-8.631,-8.877,21,21
Orai1WT-MDSnap-Fr499_cleaned,572_ideal,0.4857043339316628,-7.214,-7.044,20,20
Orai1WT-MDSnap-Fr499_cleaned,5AN_ideal,2.750534715691155,-6.294,-6.317,9,9
Orai1WT-MDSnap-Fr499_cleaned,5B3_ideal,27.347806884952707,-10.144,-9.432,24,24
Orai1WT-MDSnap-Fr499_cleaned,641_ideal,0.03658581335887518,-8.563,-8.569,23,23
Orai1WT-MDSnap-Fr499_cleaned,6BD_ideal,35.293903530618024,-8.673,-7.976,21,21
Orai1WT-MDSnap-Fr499_cleaned,6LH_ideal,29.07461025534134,-6.386,-6.502,12,12
Orai1WT-MDSnap-Fr499_cleaned,6LR_ideal,0.03386492777688063,-4.509,-4.529,6,6
Orai1WT-MDSnap-Fr499_cleaned,6WT_ideal,1.165081542210673,-9.204,-9.255,19,19
Orai1WT-MDSnap-Fr499_cleaned,787_ideal,16.62023963124479,-7.299,-6.954,15,15
Orai1WT-MDSnap-Fr499_cleaned,791_ideal,43.74423349689384,-6.474,-6.339,13,13
Orai1WT-MDSnap-Fr499_cleaned,7BD_ideal,19.380233033944666,-8.466,-7.411,20,20
Orai1WT-MDSnap-Fr499_cleaned,7N8_ideal,0.410545977936698,-7.152,-7.014,15,15
Orai1WT-MDSnap-Fr499_cleaned,7TI_ideal,0.016770509831248184,-7.574,-7.585,20,20
Orai1WT-MDSnap-Fr499_cleaned,80G_ideal,0.3632241308486676,-7.187,-7.336,13,13
Orai1WT-MDSnap-Fr499_cleaned,911_ideal,20.59949239003895,-5.995,-6.33,11,11
Orai1WT-MDSnap-Fr499_cleaned,92G_ideal,1.344824552468863,-6.743,-6.713,13,13
Orai1WT-MDSnap-Fr499_cleaned,949_ideal,58.405991248158784,-8.628,-8.879,25,25
Orai1WT-MDSnap-Fr499_cleaned,9CA_ideal,0.09458614307359395,-8.018,-8.036,13,13
Orai1WT-MDSnap-Fr499_cleaned,9Y6_ideal,18.039573232202585,-6.357,-6.464,10,10
Orai1WT-MDSnap-Fr499_cleaned,A1AIA_ideal,0.030621683493890352,-7.614,-7.619,16,16
Orai1WT-MDSnap-Fr499_cleaned,A1AIK_ideal,14.498314184132518,-9.113,-8.685,22,22
Orai1WT-MDSnap-Fr499_cleaned,A1AT0_ideal,1.129872908549313,-9.139,-9.158,19,19
Orai1WT-MDSnap-Fr499_cleaned,A1CR0_ideal,37.17157164964594,-8.425,-7.752,21,21
Orai1WT-MDSnap-Fr499_cleaned,A1EEY_ideal,1.178157459765035,-7.039,-6.966,17,17
Orai1WT-MDSnap-Fr499_cleaned,A1IPI_ideal,23.217929000738486,-5.662,-5.73,12,12
