timestamp,combo_name,protein_name,ligand_name,status,error_reason,num_poses,elapsed_time_s,lig_molecular_weight,lig_heavy_atoms,lig_total_atoms,lig_rotatable_bonds,lig_num_rings,lig_aromatic_rings,lig_hbd,lig_hba,lig_tpsa,lig_logp,lig_formula,prot_num_residues,prot_num_atoms,prot_num_chains,search_depth,thread,num_modes,energy_range,gpu_model,best_affinity_kcal
2026-03-24T12:03:44.832685,SNO_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,SNO_ideal,failed,No output from any sub-box,0,0.1,,12,12,1.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:44.861449,SO2_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,SO2_ideal,failed,No output from any sub-box,0,0.1,,3,3,,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:44.888576,SO4_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,SO4_ideal,failed,No output from any sub-box,0,0.1,,5,5,,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:44.916783,SPF_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,SPF_ideal,failed,No output from any sub-box,0,0.1,,63,74,15.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:44.941229,SPR_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,SPR_ideal,failed,No output from any sub-box,0,0.1,,61,65,14.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:44.964435,SPX_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,SPX_ideal,failed,No output from any sub-box,0,0.1,,70,72,19.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:44.986371,SQL_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,SQL_ideal,failed,No output from any sub-box,0,0.1,,30,30,7.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.017769,SQS_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,SQS_ideal,failed,No output from any sub-box,0,0.1,,21,25,9.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.042760,SS2_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,SS2_ideal,failed,No output from any sub-box,0,0.1,,9,10,1.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.065974,SS4_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,SS4_ideal,failed,No output from any sub-box,0,0.1,,28,31,3.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.088915,STC_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,STC_ideal,failed,No output from any sub-box,0,0.1,,19,21,2.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.115957,STE_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,STE_ideal,failed,No output from any sub-box,0,0.1,,20,21,8.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.140284,STF_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,STF_ideal,failed,No output from any sub-box,0,0.1,,18,19,2.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.165274,STI_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,STI_ideal,failed,No output from any sub-box,0,0.1,,37,39,3.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.188662,STL_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,STL_ideal,failed,No output from any sub-box,0,0.1,,17,20,2.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.216665,SUD_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,SUD_ideal,failed,No output from any sub-box,0,0.1,,37,47,11.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.241040,SVR_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,SVR_ideal,failed,No output from any sub-box,0,0.1,,86,98,11.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.264464,SXH_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,SXH_ideal,failed,No output from any sub-box,0,0.1,,29,34,9.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.288685,SXO_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,SXO_ideal,failed,No output from any sub-box,0,0.1,,31,36,10.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.316688,SXX_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,SXX_ideal,failed,No output from any sub-box,0,0.1,,16,18,3.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.341040,SYR_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,SYR_ideal,failed,No output from any sub-box,0,0.1,,15,16,2.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.370696,T13_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,T13_ideal,failed,No output from any sub-box,0,0.1,,24,25,2.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.393768,T2D_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,T2D_ideal,failed,No output from any sub-box,0,0.1,,14,15,0.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.416999,T2M_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,T2M_ideal,failed,No output from any sub-box,0,0.1,,12,13,1.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.440040,T3X_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,T3X_ideal,failed,No output from any sub-box,0,0.1,,39,41,3.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.465294,T4T_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,T4T_ideal,failed,No output from any sub-box,0,0.1,,19,20,8.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.489838,T57_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,T57_ideal,failed,No output from any sub-box,0,0.1,,48,57,15.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.515838,T5A_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,T5A_ideal,failed,No output from any sub-box,0,0.1,,55,66,12.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.540242,T87_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,T87_ideal,failed,No output from any sub-box,0,0.1,,39,43,6.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.565202,TAP_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,TAP_ideal,failed,No output from any sub-box,0,0.1,,48,58,10.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.590522,TAR_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,TAR_ideal,failed,No output from any sub-box,0,0.1,,10,14,3.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.622184,TBF_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,TBF_ideal,failed,No output from any sub-box,0,0.1,,7,7,1.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.645696,TBP_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,TBP_ideal,failed,No output from any sub-box,0,0.1,,10,11,0.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.670074,TBU_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,TBU_ideal,failed,No output from any sub-box,0,0.1,,5,6,0.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.691177,TCA_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,TCA_ideal,failed,No output from any sub-box,0,0.1,,11,12,1.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.716759,TCH_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,TCH_ideal,failed,No output from any sub-box,0,0.1,,35,40,5.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.738974,TCO_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,TCO_ideal,failed,No output from any sub-box,0,0.1,,17,18,2.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.760991,TCV_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,TCV_ideal,failed,No output from any sub-box,0,0.1,,5,5,,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.783454,TCZ_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,TCZ_ideal,failed,No output from any sub-box,0,0.1,,9,9,,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
2026-03-24T12:03:45.815998,TD2_ideal__Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,TD2_ideal,failed,No output from any sub-box,0,0.1,,45,51,7.0,,,,,,,,223,21026,1,32,8000,10,3,NVIDIA A100-SXM4-80GB,
