pose_file,docking_method,mol_pred_loaded,sanitization,inchi_convertible,all_atoms_connected,no_radicals,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,passes_valence_checks,passes_kekulization,no_radicals_before_sanitization
/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr499__gsk7975a-prot-OPT_vina_out_model18.sdf,AutoDock_Vina,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr499__gsk7975a-prot-OPT_vina_out_model19.sdf,AutoDock_Vina,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr499__gsk7975a-prot-OPT_vina_out_model20.sdf,AutoDock_Vina,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr499__gsk7975a-prot-OPT_vina_out_model21.sdf,AutoDock_Vina,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr499__gsk7975a-prot-OPT_vina_out_model22.sdf,AutoDock_Vina,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr499__gsk7975a-prot-OPT_vina_out_model23.sdf,AutoDock_Vina,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr499__gsk7975a-prot-OPT_vina_out_model24.sdf,AutoDock_Vina,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr499__gsk7975a-prot-OPT_vina_out_model25.sdf,AutoDock_Vina,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr499__gsk7975a-prot-OPT_vina_out_model26.sdf,AutoDock_Vina,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr499__gsk7975a-prot-OPT_vina_out_model27.sdf,AutoDock_Vina,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr499__gsk7975a-prot-OPT_vina_out_model28.sdf,AutoDock_Vina,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr499__gsk7975a-prot-OPT_vina_out_model29.sdf,AutoDock_Vina,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
