method,protein,ligand,pose_name,pose_file,output_image,interactions,total_interactions,error,attractive_charge,repulsion,metal_coordination,carbon_pi,hydrophobic,cation_pi,covalent,alkyl_pi,amide_pi,hydrogen_bonds,salt_bridge,pi_cation,donor_pi,pi_pi_stacking,halogen_bonds,ionic
equibind,Orai1WT-MDSnap-Fr499_cleaned,2abp-nh2-OPT,2abp-nh2-OPT__Orai1WT-MDSnap-Fr499_cleaned/pose_01.sdf,/home/manndo/master_dev/equibind_docked_poses/2abp-nh2-OPT__Orai1WT-MDSnap-Fr499_cleaned/pose_01.sdf,/home/manndo/master_dev/pandamap_results/full_analysis/equibind/Orai1WT-MDSnap-Fr499_cleaned__2abp-nh2-OPT/images/2abp-nh2-OPT__Orai1WT-MDSnap-Fr499_cleaned_pose_01.sdf_interactions.png,"{'hydrogen_bonds': 0, 'carbon_pi': 3, 'pi_pi_stacking': 3, 'donor_pi': 0, 'amide_pi': 0, 'hydrophobic': 5, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 7, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",18,,0,0,0,3,5,0,0,7,0,0,0,0,0,3,0,0
equibind,Orai1WT-START-Fr0,2abp-nh2-OPT,2abp-nh2-OPT__Orai1WT-START-Fr0/pose_01.sdf,/home/manndo/master_dev/equibind_docked_poses/2abp-nh2-OPT__Orai1WT-START-Fr0/pose_01.sdf,/home/manndo/master_dev/pandamap_results/full_analysis/equibind/Orai1WT-START-Fr0__2abp-nh2-OPT/images/2abp-nh2-OPT__Orai1WT-START-Fr0_pose_01.sdf_interactions.png,"{'hydrogen_bonds': 1, 'carbon_pi': 3, 'pi_pi_stacking': 3, 'donor_pi': 1, 'amide_pi': 0, 'hydrophobic': 8, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 1, 'alkyl_pi': 9, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",26,,0,0,0,3,8,0,1,9,0,1,0,0,1,3,0,0
equibind,Orai1WT-START-Fr0_cleaned,2abp-nh2-OPT,2abp-nh2-OPT__Orai1WT-START-Fr0_cleaned/pose_01.sdf,/home/manndo/master_dev/equibind_docked_poses/2abp-nh2-OPT__Orai1WT-START-Fr0_cleaned/pose_01.sdf,/home/manndo/master_dev/pandamap_results/full_analysis/equibind/Orai1WT-START-Fr0_cleaned__2abp-nh2-OPT/images/2abp-nh2-OPT__Orai1WT-START-Fr0_cleaned_pose_01.sdf_interactions.png,"{'hydrogen_bonds': 1, 'carbon_pi': 5, 'pi_pi_stacking': 1, 'donor_pi': 0, 'amide_pi': 0, 'hydrophobic': 6, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 1, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 9, 'attractive_charge': 0, 'pi_cation': 1, 'repulsion': 0}",24,,0,0,0,5,6,1,0,9,0,1,0,1,0,1,0,0
equibind,Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,2abp-nh3p-OPT__Orai1WT-MDSnap-Fr300/pose_01.sdf,/home/manndo/master_dev/equibind_docked_poses/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr300/pose_01.sdf,/home/manndo/master_dev/pandamap_results/full_analysis/equibind/Orai1WT-MDSnap-Fr300__2abp-nh3p-OPT/images/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr300_pose_01.sdf_interactions.png,"{'hydrogen_bonds': 0, 'carbon_pi': 2, 'pi_pi_stacking': 1, 'donor_pi': 1, 'amide_pi': 0, 'hydrophobic': 6, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 7, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",17,,0,0,0,2,6,0,0,7,0,0,0,0,1,1,0,0
equibind,Orai1WT-MDSnap-Fr300_cleaned,2abp-nh3p-OPT,2abp-nh3p-OPT__Orai1WT-MDSnap-Fr300_cleaned/pose_01.sdf,/home/manndo/master_dev/equibind_docked_poses/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr300_cleaned/pose_01.sdf,/home/manndo/master_dev/pandamap_results/full_analysis/equibind/Orai1WT-MDSnap-Fr300_cleaned__2abp-nh3p-OPT/images/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr300_cleaned_pose_01.sdf_interactions.png,"{'hydrogen_bonds': 0, 'carbon_pi': 4, 'pi_pi_stacking': 3, 'donor_pi': 0, 'amide_pi': 0, 'hydrophobic': 5, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 7, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",19,,0,0,0,4,5,0,0,7,0,0,0,0,0,3,0,0
equibind,Orai1WT-MDSnap-Fr400,2abp-nh3p-OPT,2abp-nh3p-OPT__Orai1WT-MDSnap-Fr400/pose_01.sdf,/home/manndo/master_dev/equibind_docked_poses/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr400/pose_01.sdf,/home/manndo/master_dev/pandamap_results/full_analysis/equibind/Orai1WT-MDSnap-Fr400__2abp-nh3p-OPT/images/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr400_pose_01.sdf_interactions.png,"{'hydrogen_bonds': 4, 'carbon_pi': 2, 'pi_pi_stacking': 2, 'donor_pi': 1, 'amide_pi': 0, 'hydrophobic': 7, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 1, 'alkyl_pi': 10, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",27,,0,0,0,2,7,0,1,10,0,4,0,0,1,2,0,0
equibind,Orai1WT-MDSnap-Fr400_cleaned,2abp-nh3p-OPT,2abp-nh3p-OPT__Orai1WT-MDSnap-Fr400_cleaned/pose_01.sdf,/home/manndo/master_dev/equibind_docked_poses/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr400_cleaned/pose_01.sdf,/home/manndo/master_dev/pandamap_results/full_analysis/equibind/Orai1WT-MDSnap-Fr400_cleaned__2abp-nh3p-OPT/images/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr400_cleaned_pose_01.sdf_interactions.png,"{'hydrogen_bonds': 2, 'carbon_pi': 2, 'pi_pi_stacking': 2, 'donor_pi': 0, 'amide_pi': 0, 'hydrophobic': 5, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 6, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",17,,0,0,0,2,5,0,0,6,0,2,0,0,0,2,0,0
equibind,Orai1WT-MDSnap-Fr499,2abp-nh3p-OPT,2abp-nh3p-OPT__Orai1WT-MDSnap-Fr499/pose_01.sdf,/home/manndo/master_dev/equibind_docked_poses/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr499/pose_01.sdf,/home/manndo/master_dev/pandamap_results/full_analysis/equibind/Orai1WT-MDSnap-Fr499__2abp-nh3p-OPT/images/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr499_pose_01.sdf_interactions.png,"{'hydrogen_bonds': 3, 'carbon_pi': 1, 'pi_pi_stacking': 1, 'donor_pi': 0, 'amide_pi': 0, 'hydrophobic': 6, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 8, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",19,,0,0,0,1,6,0,0,8,0,3,0,0,0,1,0,0
equibind,Orai1WT-MDSnap-Fr499_cleaned,2abp-nh3p-OPT,2abp-nh3p-OPT__Orai1WT-MDSnap-Fr499_cleaned/pose_01.sdf,/home/manndo/master_dev/equibind_docked_poses/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr499_cleaned/pose_01.sdf,/home/manndo/master_dev/pandamap_results/full_analysis/equibind/Orai1WT-MDSnap-Fr499_cleaned__2abp-nh3p-OPT/images/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr499_cleaned_pose_01.sdf_interactions.png,"{'hydrogen_bonds': 0, 'carbon_pi': 4, 'pi_pi_stacking': 3, 'donor_pi': 0, 'amide_pi': 0, 'hydrophobic': 6, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 5, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",18,,0,0,0,4,6,0,0,5,0,0,0,0,0,3,0,0
equibind,Orai1WT-START-Fr0,2abp-nh3p-OPT,2abp-nh3p-OPT__Orai1WT-START-Fr0/pose_01.sdf,/home/manndo/master_dev/equibind_docked_poses/2abp-nh3p-OPT__Orai1WT-START-Fr0/pose_01.sdf,/home/manndo/master_dev/pandamap_results/full_analysis/equibind/Orai1WT-START-Fr0__2abp-nh3p-OPT/images/2abp-nh3p-OPT__Orai1WT-START-Fr0_pose_01.sdf_interactions.png,"{'hydrogen_bonds': 5, 'carbon_pi': 2, 'pi_pi_stacking': 2, 'donor_pi': 1, 'amide_pi': 0, 'hydrophobic': 9, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 1, 'alkyl_pi': 8, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",28,,0,0,0,2,9,0,1,8,0,5,0,0,1,2,0,0
